machine_id,timestamp_start,timestamp_end,state,stop_cause,shift,recipe,speed_target,speed_actual,duration_seconds,good_count,reject_count,planned
M01,2026-06-23 00:00:00,2026-06-23 00:29:25,Running,,C,Lampone Zero 560ml,2200,2075,1765,1017,4,False
M01,2026-06-23 00:29:25,2026-06-23 00:43:18,Stopped,External,C,Lampone Zero 560ml,2200,0,833,0,0,False
M01,2026-06-23 00:43:18,2026-06-23 01:27:35,Running,,C,Lampone Zero 560ml,2200,2038,2657,1504,6,False
M01,2026-06-23 01:27:35,2026-06-23 01:32:21,Stopped,Operator,C,Lampone Zero 560ml,2200,0,286,0,0,False
M01,2026-06-23 01:32:21,2026-06-23 02:06:22,Running,,C,Lampone Zero 560ml,2200,2026,2041,1149,5,False
M01,2026-06-23 02:06:22,2026-06-23 02:15:49,Stopped,Supplies,C,Lampone Zero 560ml,2200,0,567,0,0,False
M01,2026-06-23 02:15:49,2026-06-23 02:29:47,Stopped,Starvation,C,Lampone Zero 560ml,2200,0,838,0,0,False
M01,2026-06-23 02:29:47,2026-06-23 02:54:29,Running,,C,Lampone Zero 560ml,2200,2077,1482,855,3,False
M01,2026-06-23 02:54:29,2026-06-23 03:19:05,Running,,C,Lampone Zero 560ml,2200,2052,1476,841,2,False
M01,2026-06-23 03:19:05,2026-06-23 03:52:54,Running,,C,Lampone Zero 560ml,2200,2080,2029,1172,4,False
M01,2026-06-23 03:52:54,2026-06-23 03:56:38,Stopped,External,C,Lampone Zero 560ml,2200,0,224,0,0,False
M01,2026-06-23 03:56:38,2026-06-23 04:33:13,Running,,C,Lampone Zero 560ml,2200,2040,2195,1244,4,False
M01,2026-06-23 04:33:13,2026-06-23 05:21:24,Running,,C,Lampone Zero 560ml,2200,2071,2891,1663,5,False
M01,2026-06-23 05:21:24,2026-06-23 05:44:42,Running,,C,Lampone Zero 560ml,2200,2010,1398,781,3,False
M01,2026-06-23 05:44:42,2026-06-23 06:00:00,Running,,C,Lampone Zero 560ml,2200,2033,918,518,2,False
M01,2026-06-23 06:00:00,2026-06-23 06:55:29,Running,,A,Lampone Zero 560ml,2200,2045,3329,1891,7,False
M01,2026-06-23 06:55:29,2026-06-23 07:02:04,Stopped,Supplies,A,Lampone Zero 560ml,2200,0,395,0,0,False
M01,2026-06-23 07:02:04,2026-06-23 07:08:53,Stopped,External,A,Lampone Zero 560ml,2200,0,409,0,0,False
M01,2026-06-23 07:08:53,2026-06-23 07:14:40,Stopped,External,A,Lampone Zero 560ml,2200,0,347,0,0,False
M01,2026-06-23 07:14:40,2026-06-23 07:36:47,Running,,A,Lampone Zero 560ml,2200,2059,1327,759,2,False
M01,2026-06-23 07:36:47,2026-06-23 08:16:26,Running,,A,Lampone Zero 560ml,2200,2084,2379,1377,5,False
M01,2026-06-23 08:16:26,2026-06-23 09:15:46,Running,,A,Lampone Zero 560ml,2200,2020,3560,1998,7,False
M01,2026-06-23 09:15:46,2026-06-23 09:35:51,Running,,A,Lampone Zero 560ml,2200,2057,1205,689,2,False
M01,2026-06-23 09:35:51,2026-06-23 10:11:28,Running,,A,Lampone Zero 560ml,2200,2063,2137,1225,4,False
M01,2026-06-23 10:11:28,2026-06-23 10:18:05,Stopped,Fault,A,Lampone Zero 560ml,2200,0,397,0,0,False
M01,2026-06-23 10:18:05,2026-06-23 10:25:55,Stopped,Operator,A,Lampone Zero 560ml,2200,0,470,0,0,False
M01,2026-06-23 10:25:55,2026-06-23 10:34:50,Stopped,External,A,Lampone Zero 560ml,2200,0,535,0,0,False
M01,2026-06-23 10:34:50,2026-06-23 11:27:56,Running,,A,Lampone Zero 560ml,2200,2048,3186,1812,8,False
M01,2026-06-23 11:27:56,2026-06-23 11:51:57,Running,,A,Lampone Zero 560ml,2200,2057,1441,823,3,False
M01,2026-06-23 11:51:57,2026-06-23 12:27:42,Running,,A,Lampone Zero 560ml,2200,2086,2145,1243,5,False
M01,2026-06-23 12:27:42,2026-06-23 12:39:35,Stopped,Starvation,A,Lampone Zero 560ml,2200,0,713,0,0,False
M01,2026-06-23 12:39:35,2026-06-23 12:52:04,Stopped,Starvation,A,Lampone Zero 560ml,2200,0,749,0,0,False
M01,2026-06-23 12:52:04,2026-06-23 13:34:43,Running,,A,Lampone Zero 560ml,2200,2053,2559,1459,4,False
M01,2026-06-23 13:34:43,2026-06-23 13:59:17,Running,,A,Lampone Zero 560ml,2200,2082,1474,852,4,False
M01,2026-06-23 13:59:17,2026-06-23 14:00:00,Idle,,A,Lampone Zero 560ml,2200,0,43,0,0,False
M01,2026-06-23 14:00:00,2026-06-23 14:27:37,Stopped,Changeover,B,Arancia Rossa 500ml,2400,0,1657,0,0,True
M01,2026-06-23 14:27:37,2026-06-23 15:25:46,Running,,B,Arancia Rossa 500ml,2400,2274,3489,2204,7,False
M01,2026-06-23 15:25:46,2026-06-23 15:53:25,Running,,B,Arancia Rossa 500ml,2400,2266,1659,1044,4,False
M01,2026-06-23 15:53:25,2026-06-23 16:04:13,Stopped,External,B,Arancia Rossa 500ml,2400,0,648,0,0,False
M01,2026-06-23 16:04:13,2026-06-23 16:11:11,Stopped,Starvation,B,Arancia Rossa 500ml,2400,0,418,0,0,False
M01,2026-06-23 16:11:11,2026-06-23 17:04:46,Running,,B,Arancia Rossa 500ml,2400,2265,3215,2023,8,False
M01,2026-06-23 17:04:46,2026-06-23 17:20:11,Idle,,B,Arancia Rossa 500ml,2400,0,925,0,0,False
M01,2026-06-23 17:20:11,2026-06-23 17:25:18,Stopped,Starvation,B,Arancia Rossa 500ml,2400,0,307,0,0,False
M01,2026-06-23 17:25:18,2026-06-23 17:36:45,Stopped,Buildup,B,Arancia Rossa 500ml,2400,0,687,0,0,False
M01,2026-06-23 17:36:45,2026-06-23 18:34:10,Running,,B,Arancia Rossa 500ml,2400,2242,3445,2145,9,False
M01,2026-06-23 18:34:10,2026-06-23 19:30:39,Running,,B,Arancia Rossa 500ml,2400,2266,3389,2133,8,False
M01,2026-06-23 19:30:39,2026-06-23 19:57:50,Running,,B,Arancia Rossa 500ml,2400,2214,1631,1003,3,False
M01,2026-06-23 19:57:50,2026-06-23 20:36:51,Running,,B,Arancia Rossa 500ml,2400,2190,2341,1424,5,False
M01,2026-06-23 20:36:51,2026-06-23 21:21:34,Running,,B,Arancia Rossa 500ml,2400,2256,2683,1681,5,False
M01,2026-06-23 21:21:34,2026-06-23 21:46:05,Running,,B,Arancia Rossa 500ml,2400,2262,1471,924,3,False
M01,2026-06-23 21:46:05,2026-06-23 22:00:00,Running,,B,Arancia Rossa 500ml,2400,2209,835,512,2,False
M01,2026-06-23 22:00:00,2026-06-23 22:44:44,Running,,C,Arancia Rossa 500ml,2400,2195,2684,1636,6,False
M01,2026-06-23 22:44:44,2026-06-23 22:57:40,Stopped,Starvation,C,Arancia Rossa 500ml,2400,0,776,0,0,False
M01,2026-06-23 22:57:40,2026-06-23 23:48:10,Running,,C,Arancia Rossa 500ml,2400,2249,3030,1893,7,False
M01,2026-06-23 23:48:10,2026-06-24 00:00:00,Running,,C,Arancia Rossa 500ml,2400,2276,710,449,2,False
M01,2026-06-24 00:00:00,2026-06-24 00:03:00,Stopped,Operator,C,Arancia Rossa 500ml,2400,0,180,0,0,False
M01,2026-06-24 00:03:00,2026-06-24 00:43:15,Running,,C,Arancia Rossa 500ml,2400,2228,2415,1495,6,False
