machine_id,timestamp_start,timestamp_end,state,stop_cause,shift,recipe,speed_target,speed_actual,duration_seconds,good_count,reject_count,planned
M01,2026-06-23 00:00:00,2026-06-23 00:08:37,Stopped,Starvation,C,Lampone Zero 560ml,2200,0,517,0,0,False
M01,2026-06-23 00:08:37,2026-06-23 01:02:38,Running,,C,Lampone Zero 560ml,2200,2017,3241,1816,7,False
M01,2026-06-23 01:02:38,2026-06-23 01:36:41,Running,,C,Lampone Zero 560ml,2200,2043,2043,1159,4,False
M01,2026-06-23 01:36:41,2026-06-23 01:58:42,Running,,C,Lampone Zero 560ml,2200,2086,1321,765,3,False
M01,2026-06-23 01:58:42,2026-06-23 02:04:50,Stopped,Fault,C,Lampone Zero 560ml,2200,0,368,0,0,False
M01,2026-06-23 02:04:50,2026-06-23 02:07:32,Stopped,Supplies,C,Lampone Zero 560ml,2200,0,162,0,0,False
M01,2026-06-23 02:07:32,2026-06-23 03:02:07,Running,,C,Lampone Zero 560ml,2200,2030,3275,1847,5,False
M01,2026-06-23 03:02:07,2026-06-23 04:00:24,Running,,C,Lampone Zero 560ml,2200,2071,3497,2012,6,False
M01,2026-06-23 04:00:24,2026-06-23 04:33:17,Running,,C,Lampone Zero 560ml,2200,2044,1973,1120,3,False
M01,2026-06-23 04:33:17,2026-06-23 04:53:49,Running,,C,Lampone Zero 560ml,2200,2063,1232,706,2,False
M01,2026-06-23 04:53:49,2026-06-23 05:41:37,Running,,C,Lampone Zero 560ml,2200,2060,2868,1641,6,False
M01,2026-06-23 05:41:37,2026-06-23 06:00:00,Running,,C,Lampone Zero 560ml,2200,2069,1103,634,2,False
M01,2026-06-23 06:00:00,2026-06-23 06:48:24,Running,,A,Lampone Zero 560ml,2200,2038,2904,1644,5,False
M01,2026-06-23 06:48:24,2026-06-23 07:33:36,Running,,A,Lampone Zero 560ml,2200,2064,2712,1555,5,False
M01,2026-06-23 07:33:36,2026-06-23 08:22:49,Running,,A,Lampone Zero 560ml,2200,2037,2953,1671,6,False
M01,2026-06-23 08:22:49,2026-06-23 09:00:38,Running,,A,Lampone Zero 560ml,2200,2071,2269,1305,4,False
M01,2026-06-23 09:00:38,2026-06-23 09:14:02,Stopped,Buildup,A,Lampone Zero 560ml,2200,0,804,0,0,False
M01,2026-06-23 09:14:02,2026-06-23 09:40:42,Running,,A,Lampone Zero 560ml,2200,2065,1600,918,3,False
M01,2026-06-23 09:40:42,2026-06-23 10:09:17,Running,,A,Lampone Zero 560ml,2200,2056,1715,979,4,False
M01,2026-06-23 10:09:17,2026-06-23 10:48:13,Running,,A,Lampone Zero 560ml,2200,2060,2336,1337,5,False
M01,2026-06-23 10:48:13,2026-06-23 10:54:32,Stopped,External,A,Lampone Zero 560ml,2200,0,379,0,0,False
M01,2026-06-23 10:54:32,2026-06-23 10:56:44,Stopped,Supplies,A,Lampone Zero 560ml,2200,0,132,0,0,False
